Date,state,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019-01-01,MO,1530765.0,4576960.0,16618431.0,4033851.0,4385048.0,2036854.0,2526033.0,2313883.0,809030.0,290444.0,154169.0,39949.0,29170.0
2019-01-01,MT,274792.0,784266.0,2713339.0,713694.0,793853.0,316094.0,328717.0,301549.0,123496.0,74408.0,44176.0,9664.0,7688.0
2019-01-01,NE,441655.0,1481719.0,5193396.0,1215745.0,1444125.0,681807.0,824353.0,590687.0,216082.0,131513.0,62340.0,16489.0,10255.0
2019-01-02,OR,851784.0,3326117.0,14972698.0,3792335.0,4191488.0,1887100.0,2089635.0,2030027.0,598755.0,230847.0,104962.0,23120.0,24429.0
2019-01-02,HI,275645.0,1140505.0,4802940.0,1474927.0,1249456.0,534214.0,632372.0,784912.0,89296.0,18239.0,9818.0,3416.0,6290.0
2019-01-02,SD,167058.0,712477.0,3155786.0,774735.0,883042.0,383898.0,441099.0,358115.0,169177.0,89142.0,41332.0,10372.0,4874.0
2019-01-02,TN,1202957.0,5546361.0,22776413.0,5085808.0,5767329.0,2848614.0,3621626.0,3683086.0,1154732.0,355086.0,175366.0,57047.0,27719.0
2019-01-02,GA,1863379.0,8623944.0,32672193.0,7628272.0,7963474.0,3990892.0,5146747.0,5045322.0,1910159.0,552283.0,294019.0,95165.0,45860.0
2019-01-02,OK,756915.0,3174109.0,12593146.0,3252291.0,3160448.0,1470021.0,1824591.0,1931780.0,601388.0,223985.0,98263.0,21005.0,9374.0
2019-01-02,OH,2198201.0,9455512.0,39655603.0,9578728.0,9635258.0,4829222.0,6243016.0,6467456.0,1882345.0,633793.0,281212.0,68785.0,35788.0
2019-01-02,NM,424606.0,1664417.0,8005827.0,2215179.0,2176468.0,996824.0,1131243.0,855863.0,326252.0,182376.0,90147.0,22472.0,9003.0
2019-01-02,AL,805275.0,4067659.0,15364317.0,3392334.0,3842779.0,2039337.0,2469521.0,2382922.0,804931.0,280818.0,114383.0,29039.0,8253.0
2019-01-02,AK,164221.0,570961.0,2558434.0,744092.0,715485.0,334922.0,347834.0,257154.0,99854.0,37737.0,8390.0,5558.0,7408.0
2019-01-02,AZ,1383271.0,5766455.0,23171878.0,6109071.0,5537532.0,2733747.0,3422427.0,3664406.0,1108779.0,302458.0,206559.0,47165.0,39734.0
2019-01-02,AR,498932.0,2505684.0,9388305.0,2120743.0,2436724.0,1187904.0,1471941.0,1373825.0,510995.0,185434.0,73748.0,20334.0,6657.0
2019-01-02,CA,7563889.0,31872247.0,139079128.0,39632283.0,35482817.0,16064280.0,19235040.0,18622807.0,6717318.0,2240304.0,729924.0,177674.0,176681.0
2019-01-02,CO,1187834.0,4490322.0,22619705.0,5632709.0,5799186.0,2717263.0,3487743.0,3408441.0,962761.0,377353.0,144893.0,39144.0,50212.0
2019-01-02,CT,664253.0,2897492.0,12178390.0,2893528.0,3120941.0,1544380.0,1829460.0,1839073.0,631204.0,217205.0,60697.0,13255.0,28647.0
2019-01-02,DE,172769.0,791445.0,3133970.0,719390.0,768179.0,398481.0,494110.0,472383.0,192265.0,59353.0,25226.0,2652.0,1931.0
2019-01-02,DC,187674.0,512634.0,3833093.0,1578515.0,1062461.0,478066.0,440048.0,203267.0,43982.0,10143.0,7816.0,3431.0,5364.0
2019-01-02,FL,3565510.0,17668712.0,70457285.0,18957013.0,17693636.0,8810669.0,10853190.0,9709261.0,2932409.0,886023.0,427054.0,103681.0,84349.0
2019-01-02,NC,1784039.0,8567842.0,34513887.0,7591948.0,8588335.0,4372228.0,5648705.0,5542908.0,1843329.0,561367.0,259076.0,65656.0,40335.0
2019-01-02,NJ,1731052.0,7150241.0,33163866.0,9107714.0,8178954.0,3859369.0,4725420.0,4745313.0,1785523.0,527427.0,148811.0,28995.0,56340.0
2019-01-02,NH,247780.0,1104531.0,4657220.0,899015.0,1082699.0,594160.0,729416.0,853145.0,359129.0,101884.0,26012.0,4839.0,6921.0
2019-01-02,WY,128102.0,447868.0,2224759.0,614279.0,673715.0,290169.0,225487.0,184065.0,123425.0,73694.0,31400.0,5461.0,3064.0
2019-01-02,WI,1022889.0,4772911.0,20465485.0,4351786.0,5085335.0,2524286.0,3292743.0,3334595.0,1243758.0,375127.0,185606.0,39705.0,32544.0
2019-01-02,WV,367115.0,1433195.0,5834924.0,1321364.0,1546392.0,745513.0,895430.0,812580.0,327098.0,124069.0,50056.0,8868.0,3554.0
2019-01-02,MA,1408154.0,5472899.0,28125611.0,7237304.0,7219021.0,3438621.0,4122162.0,4178675.0,1413952.0,336420.0,106300.0,21239.0,51917.0
2019-01-02,WA,1367232.0,6145328.0,26201789.0,6263947.0,6770840.0,3238321.0,4063990.0,3961430.0,1273888.0,366933.0,173412.0,35714.0,53314.0
2019-01-02,VA,1489928.0,7001727.0,30710013.0,7644773.0,7599123.0,3783492.0,4733596.0,4694584.0,1509433.0,457325.0,189355.0,51086.0,47246.0
2019-01-02,ND,142681.0,615074.0,2580320.0,647619.0,735629.0,344663.0,327261.0,261780.0,127840.0,81086.0,37174.0,13512.0,3756.0
